year,org,ein,class,group_id_guess,name,new_group_id,remove,final_id
2014,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_32,HAROLD F DVORAK,,,04-2121305_32
2013,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_32,HAROLD F DVORAK,,,04-2121305_32
2012,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_32,HAROLD F DVORAK,,,04-2121305_32
2011,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_32,HAROLD F DVORAK,,,04-2121305_32
2010,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_32,HAROLD F DVORAK,,,04-2121305_32
2009,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_32,HAROLD F DVORAK,,,04-2121305_32
2008,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_32,HAROLD F DVORAK,,,04-2121305_32
2015,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_33,RICHARD W BREWER,,,04-2121305_33
2014,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_33,RICHARD W BREWER,,,04-2121305_33
2013,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_33,RICHARD W BREWER,,,04-2121305_33
2012,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_33,RICHARD W BREWER,,,04-2121305_33
2011,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_33,RICHARD W BREWER,,,04-2121305_33
2010,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_33,RICHARD W BREWER,,,04-2121305_33
2009,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_33,RICHARD W BREWER,,,04-2121305_33
2008,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_33,RICHARD W BREWER,,,04-2121305_33
2007,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_33,RICHARD W BREWER,,,04-2121305_33
2006,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_33,RICHARD W BREWER,,,04-2121305_33
2013,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_34,STEVEN R CUNNINGHAM,,,04-2121305_34
2012,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_34,STEVEN R CUNNINGHAM,,,04-2121305_34
2011,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_34,STEVEN R CUNNINGHAM,,,04-2121305_34
2010,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_34,STEVEN R CUNNINGHAM,,,04-2121305_34
2013,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_35,RICHARD M DONCASTER,,,04-2121305_35
2012,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_35,RICHARD M DONCASTER,,,04-2121305_35
2011,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_35,RICHARD M DONCASTER,,,04-2121305_35
2010,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_35,RICHARD M DONCASTER,,,04-2121305_35
2009,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_35,RICHARD M DONCASTER,,,04-2121305_35
2008,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_35,RICHARD M DONCASTER,,,04-2121305_35
2007,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_35,RICHARD M DONCASTER,,,04-2121305_35
2006,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_35,RICHARD M DONCASTER,,,04-2121305_35
2005,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_35,RICHARD DONCASTER,,,04-2121305_35
2004,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_35,Mr. Richard M. Doncaster,,,04-2121305_35
2003,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_35,Mr. Richard M. Doncaster,,,04-2121305_35
2002,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_35,Mr. Richard M Doncaster,,,04-2121305_35
2001,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_35,MR RICHARD M DONCASTER,,,04-2121305_35
2013,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_36,JEFFREY A MIRON,,,04-2121305_36
2012,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_36,JEFFREY A MIRON,,,04-2121305_36
2012,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_37,PETER A LEE,,,04-2121305_37
2011,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_37,PETER A LEE,,,04-2121305_37
2010,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_37,PETER A LEE,,,04-2121305_37
2009,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_37,PETER A LEE,,,04-2121305_37
2008,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_37,PETER A LEE,,,04-2121305_37
2007,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_37,PETER A LEE,,,04-2121305_37
2006,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_37,PETER A LEE,,,04-2121305_37
2005,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_37,PETER LEE,,,04-2121305_37
2004,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_37,Mr. Peter A. Lee,,,04-2121305_37
2003,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_37,Mr. Peter A. Lee,,,04-2121305_37
2012,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_38,EDWARD P WELKER,,,04-2121305_38
